	0
2006Aug14_18	2
2006Jun25_01	1
2006Mar22_03	1
2007Aug06_23	1
2007Aug23_19	1
2007Feb11_10	2
2007Mar28_14	1
2007Oct07_17	1
2008Jun16_22	1
2008May16_17	1
2008Nov11_02	1
2008Nov12_01	1
2008Nov20_07	1
2008Nov21_16	1
2008Nov26_23	1
2008Oct14_00	1
2008Sep27_23	1
2009Apr05_03	2
2009Apr05_09	1
2009Apr06_20	1
2009Apr06_23	1
2009Apr07_03	1
2009Apr08_04	4
2009Apr08_11	1
2009Apr09_03	2
2009Apr09_21	1
2009Apr11_03	2
2009Apr11_21	1
2009Apr12_22	1
2009Apr12_23	1
2009Apr13_20	1
2009Apr14_03	1
2009Apr18_23	1
2009Apr19_02	1
2009Apr20_02	1
2009Apr23_17	1
2009Apr24_03	1
2009Apr24_13	1
2009Apr25_03	1
2009Apr25_17	1
2009Apr25_18	1
2009Apr26_15	1
2009Apr29_01	1
2009Apr29_17	1
2009Apr29_23	1
2009Aug01_03	1
2009Aug01_22	1
2009Aug04_14	1
2009Aug05_03	1
2009Aug05_16	1
2009Aug06_02	1
2009Aug06_05	1
2009Aug06_11	1
2009Aug07_05	1
2009Aug08_07	1
2009Aug09_07	2
2009Aug10_23	1
2009Aug11_00	5
2009Aug12_13	1
2009Aug13_04	1
2009Aug14_02	1
2009Aug14_03	1
2009Aug14_23	1
2009Aug17_01	1
2009Aug17_18	1
2009Aug17_22	1
2009Aug18_22	1
2009Aug19_16	2
2009Aug20_06	1
2009Aug20_14	1
2009Aug20_16	2
2009Aug20_17	1
2009Aug21_18	2
2009Aug22_01	1
2009Aug23_00	1
2009Aug24_22	2
2009Aug25_21	1
2009Aug26_08	1
2009Aug27_02	1
2009Aug29_21	1
2009Aug30_15	1
2009Aug31_02	1
2009Dec01_02	2
2009Dec01_03	1
2009Dec01_07	2
2009Dec02_02	1
2009Dec03_23	1
2009Dec04_11	1
2009Dec04_17	4
2009Dec04_21	4
2009Dec04_23	1
2009Dec05_18	1
2009Dec06_11	2
2009Dec07_16	1
2009Dec07_19	1
2009Dec08_07	1
2009Dec08_15	2
2009Dec08_23	1
2009Dec09_02	2
2009Dec09_11	1
2009Dec09_13	1
2009Dec10_22	1
2009Dec10_23	1
2009Dec11_01	1
2009Dec11_23	1
2009Dec13_14	2
2009Dec13_16	1
2009Dec13_17	1
2009Dec13_21	1
2009Dec14_12	1
2009Dec16_02	1
2009Dec16_14	1
2009Dec16_16	1
2009Dec16_20	1
2009Dec19_07	1
2009Dec20_20	1
2009Dec20_21	1
2009Dec21_01	1
2009Dec21_12	1
2009Dec21_16	1
2009Dec26_01	1
2009Dec26_12	1
2009Dec27_10	1
2009Dec27_18	1
2009Dec28_05	1
2009Dec28_16	1
2009Dec28_21	1
2009Dec29_00	3
2009Dec29_06	1
2009Dec29_17	1
2009Dec29_23	1
2009Dec30_20	1
2009Dec30_21	1
2009Dec31_02	1
2009Feb02_22	1
2009Feb06_00	1
2009Feb06_03	1
2009Feb06_18	1
2009Feb11_00	1
2009Feb11_16	1
2009Feb13_13	24
2009Feb14_20	1
2009Feb27_12	1
2009Jan06_23	1
2009Jan08_04	1
2009Jan14_01	1
2009Jan25_07	1
2009Jan26_06	1
2009Jul02_20	1
2009Jul03_03	1
2009Jul03_11	1
2009Jul04_12	1
2009Jul05_00	1
2009Jul07_17	1
2009Jul09_15	1
2009Jul09_16	4
2009Jul10_00	2
2009Jul11_13	1
2009Jul11_14	1
2009Jul13_18	1
2009Jul13_20	2
2009Jul14_13	1
2009Jul15_15	1
2009Jul15_16	1
2009Jul16_12	1
2009Jul17_02	1
2009Jul17_12	1
2009Jul18_04	1
2009Jul18_16	1
2009Jul20_10	2
2009Jul20_17	1
2009Jul22_22	1
2009Jul23_00	1
2009Jul24_17	1
2009Jul26_20	1
2009Jul28_03	1
2009Jul28_14	1
2009Jun01_22	1
2009Jun02_20	1
2009Jun03_21	1
2009Jun06_17	5
2009Jun07_16	2
2009Jun07_19	3
2009Jun08_00	1
2009Jun08_05	1
2009Jun09_13	1
2009Jun10_19	1
2009Jun13_03	1
2009Jun13_14	2
2009Jun13_23	2
2009Jun15_21	1
2009Jun17_15	4
2009Jun17_23	2
2009Jun18_03	1
2009Jun18_13	3
2009Jun19_12	1
2009Jun19_13	1
2009Jun19_22	2
2009Jun20_22	1
2009Jun21_14	1
